timestamp,pos_x,pos_y,yaw,vel_linear,vel_angular,left_dist,right_dist,front_dist,steering_cmd,speed_cmd
5.287,17.679,-9.578,3.136,0.000,0.000,2.022,2.024,10.234,0.000,0.000
5.300,0.000,0.000,0.000,-0.000,-0.000,2.022,2.024,10.234,0.000,0.000
5.310,17.679,-9.578,3.136,0.000,0.000,2.022,2.024,10.234,0.000,0.000
5.320,0.000,0.000,0.000,-0.000,-0.000,2.024,2.026,10.232,0.000,0.000
5.321,17.679,-9.578,3.136,0.000,0.000,2.024,2.026,10.232,0.000,0.000
5.338,17.679,-9.578,3.136,0.000,0.000,2.024,2.026,10.232,0.000,0.000
5.340,0.000,0.000,0.000,-0.000,-0.000,2.024,2.026,10.232,0.000,0.000
5.355,17.679,-9.578,3.136,0.000,0.000,2.024,2.026,10.232,0.000,0.000
5.361,0.000,0.000,0.000,-0.000,-0.000,2.024,2.026,10.232,0.000,0.000
5.372,17.679,-9.578,3.136,0.000,0.000,2.024,2.026,10.232,0.000,0.000
5.380,0.000,0.000,0.000,0.018,0.000,2.024,2.026,10.232,0.005,0.500
5.389,17.679,-9.578,3.136,0.033,0.000,2.024,2.026,10.232,0.005,0.500
5.399,0.001,0.000,0.000,0.078,0.000,2.024,2.026,10.232,0.005,0.500
5.406,17.677,-9.578,3.136,0.082,0.000,2.024,2.026,10.232,0.005,0.500
5.420,0.003,0.000,0.000,0.138,0.001,2.024,2.023,10.234,0.005,0.500
5.423,17.675,-9.578,3.136,0.133,0.001,2.024,2.023,10.234,0.005,0.500
5.439,17.672,-9.578,3.136,0.184,0.001,2.024,2.023,10.234,0.005,0.500
5.439,0.007,0.000,0.000,0.198,0.001,2.024,2.023,10.234,0.005,0.500
5.457,17.668,-9.578,3.136,0.234,0.001,2.024,2.023,10.234,0.005,0.500
5.460,0.011,0.000,0.000,0.258,0.002,2.024,2.023,10.234,0.005,0.500
5.474,17.664,-9.578,3.136,0.285,0.001,2.024,2.023,10.234,0.005,0.500
5.480,0.017,0.000,0.000,0.318,0.002,2.024,2.023,10.234,0.005,0.500
5.491,17.658,-9.578,3.136,0.336,0.002,2.024,2.023,10.234,0.005,0.500
5.500,0.024,0.000,0.000,0.378,0.003,2.024,2.023,10.234,0.005,0.500
5.507,17.652,-9.578,3.137,0.388,0.002,2.023,2.023,10.213,0.005,0.500
5.520,0.032,0.000,0.000,0.438,0.003,2.023,2.023,10.213,0.005,0.500
5.525,17.645,-9.578,3.137,0.439,0.002,2.023,2.023,10.213,0.005,0.500
5.540,0.042,0.000,0.000,0.498,0.004,2.023,2.023,10.213,0.005,0.500
5.542,17.636,-9.578,3.137,0.489,0.002,2.023,2.023,10.213,0.005,0.500
5.559,17.628,-9.578,3.137,0.499,0.002,2.023,2.023,10.213,0.005,0.500
5.560,0.052,0.000,0.000,0.500,0.004,2.023,2.023,10.213,0.005,0.500
5.576,17.619,-9.578,3.137,0.499,0.002,2.023,2.023,10.213,0.005,0.500
5.580,0.062,0.000,0.000,0.500,0.004,2.023,2.023,10.213,0.005,0.500
5.593,17.611,-9.578,3.137,0.499,0.002,2.023,2.023,10.213,0.005,0.500
5.600,0.072,0.000,0.001,0.500,0.004,2.023,2.023,10.213,0.005,0.500
5.610,17.603,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.619,0.082,0.000,0.001,0.500,0.004,2.018,2.021,10.256,0.005,0.500
5.627,17.594,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.640,0.092,0.000,0.001,0.500,0.004,2.018,2.021,10.256,0.005,0.500
5.644,17.586,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.660,0.102,0.000,0.001,0.500,0.004,2.018,2.021,10.256,0.005,0.500
5.660,17.577,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.678,17.569,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.685,0.112,0.000,0.001,0.500,0.004,2.018,2.021,10.256,0.005,0.500
5.700,17.560,-9.578,3.137,0.499,0.002,2.018,2.021,10.256,0.005,0.500
5.700,0.122,0.000,0.001,0.500,0.004,2.018,2.021,10.256,0.005,0.500
5.712,17.552,-9.578,3.137,0.499,0.002,2.021,2.024,10.215,0.005,0.500
5.720,0.132,0.000,0.001,0.500,0.004,2.021,2.024,10.215,0.005,0.500
5.729,17.543,-9.578,3.137,0.499,0.002,2.021,2.024,10.215,0.005,0.500
5.740,0.142,0.000,0.001,0.500,0.004,2.021,2.024,10.215,0.005,0.500
5.746,17.535,-9.578,3.137,0.499,0.002,2.021,2.024,10.215,0.005,0.500
5.760,0.152,0.000,0.001,0.500,0.004,2.021,2.024,10.215,0.005,0.500
